title,url,HITId,whole,part,jj,result1,worker1,result2,worker2,result3,worker3,result4,worker4,result5,worker5
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3IWA71V4TIGZA0AELEJGGCQLDO76X8,laptop,button,black,probably,A21ICFZU9O6Z9L,unrelated,A33KNBN0D47PN3,guaranteed,A14EEWC3KEF63G,probably,A2C6HMH2FDM2CI,unrelated,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3IWA71V4TIGZA0AELEJGGCQLDO76X8,laptop,button,typical,probably,A21ICFZU9O6Z9L,probably,A33KNBN0D47PN3,impossible,A14EEWC3KEF63G,guaranteed,A2C6HMH2FDM2CI,probably,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3IWA71V4TIGZA0AELEJGGCQLDO76X8,laptop,button,old,guaranteed,A21ICFZU9O6Z9L,probably,A33KNBN0D47PN3,impossible,A14EEWC3KEF63G,probably,A2C6HMH2FDM2CI,probably,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3IWA71V4TIGZA0AELEJGGCQLDO76X8,laptop,button,open,guaranteed,A21ICFZU9O6Z9L,guaranteed,A33KNBN0D47PN3,guaranteed,A14EEWC3KEF63G,impossible,A2C6HMH2FDM2CI,impossible,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3IWA71V4TIGZA0AELEJGGCQLDO76X8,laptop,button,windows,wjj-nonsense,A21ICFZU9O6Z9L,guaranteed,A33KNBN0D47PN3,guaranteed,A14EEWC3KEF63G,impossible,A2C6HMH2FDM2CI,probably,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3FJ2RVH25Z6LR39FVW1ZAWNRQGE294,teddy,head,young,guaranteed,A33KNBN0D47PN3,probably,A1BCXM3RDGUYA8,guaranteed,A2C6HMH2FDM2CI,probably,A2SSYBUT9ZM0G9,probably,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3FJ2RVH25Z6LR39FVW1ZAWNRQGE294,teddy,head,old,guaranteed,A33KNBN0D47PN3,probably,A1BCXM3RDGUYA8,guaranteed,A2C6HMH2FDM2CI,guaranteed,A2SSYBUT9ZM0G9,probably,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3FJ2RVH25Z6LR39FVW1ZAWNRQGE294,teddy,head,dear,guaranteed,A33KNBN0D47PN3,probably,A1BCXM3RDGUYA8,guaranteed,A2C6HMH2FDM2CI,unrelated,A2SSYBUT9ZM0G9,probably,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3FJ2RVH25Z6LR39FVW1ZAWNRQGE294,teddy,head,poor,unrelated,A33KNBN0D47PN3,probably,A1BCXM3RDGUYA8,guaranteed,A2C6HMH2FDM2CI,unrelated,A2SSYBUT9ZM0G9,probably,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3FJ2RVH25Z6LR39FVW1ZAWNRQGE294,teddy,head,brown,probably,A33KNBN0D47PN3,probably,A1BCXM3RDGUYA8,guaranteed,A2C6HMH2FDM2CI,unlikely,A2SSYBUT9ZM0G9,probably,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3YZ7A3YHR5TVVFO1ML3OPYVT2ETS55,black cat,head,old,guaranteed,A33KNBN0D47PN3,guaranteed,A1BCXM3RDGUYA8,guaranteed,A2C6HMH2FDM2CI,guaranteed,A1FO99U5T2TBBP,probably,A29CPTGC7FNLTB
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3YZ7A3YHR5TVVFO1ML3OPYVT2ETS55,black cat,head,white,unrelated,A33KNBN0D47PN3,probably,A1BCXM3RDGUYA8,probably,A2C6HMH2FDM2CI,impossible,A1FO99U5T2TBBP,impossible,A29CPTGC7FNLTB
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3QI9WAYOGQBREJOFR4DTH49TY94S6L,zoo,fence,sunny,guaranteed,A13ZQSOMIZAN4Y,guaranteed,AON5C6ZFYSIUN,unrelated,A2VFH95BVFIU5K,impossible,A2C6HMH2FDM2CI,probably,AXY0D2AMLKE2A
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3QI9WAYOGQBREJOFR4DTH49TY94S6L,zoo,fence,private,guaranteed,A13ZQSOMIZAN4Y,guaranteed,AON5C6ZFYSIUN,unrelated,A2VFH95BVFIU5K,guaranteed,A2C6HMH2FDM2CI,guaranteed,AXY0D2AMLKE2A
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3QI9WAYOGQBREJOFR4DTH49TY94S6L,zoo,fence,old,probably,A13ZQSOMIZAN4Y,unrelated,AON5C6ZFYSIUN,probably,A2VFH95BVFIU5K,probably,A2C6HMH2FDM2CI,unrelated,AXY0D2AMLKE2A
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3QI9WAYOGQBREJOFR4DTH49TY94S6L,zoo,fence,human,wjj-nonsense,A13ZQSOMIZAN4Y,wjj-nonsense,AON5C6ZFYSIUN,wjj-nonsense,A2VFH95BVFIU5K,impossible,A2C6HMH2FDM2CI,wjj-nonsense,AXY0D2AMLKE2A
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3QI9WAYOGQBREJOFR4DTH49TY94S6L,zoo,fence,green,unrelated,A13ZQSOMIZAN4Y,unrelated,AON5C6ZFYSIUN,unrelated,A2VFH95BVFIU5K,unlikely,A2C6HMH2FDM2CI,unrelated,AXY0D2AMLKE2A
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3QI9WAYOGQBREJOFR4DTH49TY94S6L,zoo,fence,miniature,guaranteed,A13ZQSOMIZAN4Y,guaranteed,AON5C6ZFYSIUN,probably,A2VFH95BVFIU5K,unrelated,A2C6HMH2FDM2CI,guaranteed,AXY0D2AMLKE2A
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3QI9WAYOGQBREJOFR4DTH49TY94S6L,zoo,fence,crowded,probably,A13ZQSOMIZAN4Y,unrelated,AON5C6ZFYSIUN,probably,A2VFH95BVFIU5K,impossible,A2C6HMH2FDM2CI,probably,AXY0D2AMLKE2A
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,302OLP89DZ7CU4BMKV45I47X8P9CA2,sweatshirt,hood,blue,probably,A13ZQSOMIZAN4Y,probably,A33KNBN0D47PN3,probably,A3EG6YEKPXRBJO,probably,A1BCXM3RDGUYA8,probably,A2C6HMH2FDM2CI
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,309D674SHZLHDEGEQ941DFR3Q7UCBX,plane,lettering,horizontal,guaranteed,A33KNBN0D47PN3,guaranteed,A1BCXM3RDGUYA8,probably,A2C6HMH2FDM2CI,guaranteed,A3IDU0PGLK1H1F,unrelated,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,309D674SHZLHDEGEQ941DFR3Q7UCBX,plane,lettering,vertical,guaranteed,A33KNBN0D47PN3,unlikely,A1BCXM3RDGUYA8,probably,A2C6HMH2FDM2CI,unrelated,A3IDU0PGLK1H1F,unrelated,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,309D674SHZLHDEGEQ941DFR3Q7UCBX,plane,lettering,white,unlikely,A33KNBN0D47PN3,impossible,A1BCXM3RDGUYA8,unlikely,A2C6HMH2FDM2CI,probably,A3IDU0PGLK1H1F,unlikely,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3MJ9GGZYO36ZWMJKN2FZ6RYBWYW2AJ,child,eye,sick,unlikely,A33KNBN0D47PN3,unrelated,A1BCXM3RDGUYA8,unrelated,A2C6HMH2FDM2CI,unrelated,AXY0D2AMLKE2A,unrelated,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3MJ9GGZYO36ZWMJKN2FZ6RYBWYW2AJ,child,eye,dear,probably,A33KNBN0D47PN3,guaranteed,A1BCXM3RDGUYA8,probably,A2C6HMH2FDM2CI,impossible,AXY0D2AMLKE2A,impossible,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3MJ9GGZYO36ZWMJKN2FZ6RYBWYW2AJ,child,eye,poor,unlikely,A33KNBN0D47PN3,unrelated,A1BCXM3RDGUYA8,impossible,A2C6HMH2FDM2CI,impossible,AXY0D2AMLKE2A,impossible,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3MJ9GGZYO36ZWMJKN2FZ6RYBWYW2AJ,child,eye,young,guaranteed,A33KNBN0D47PN3,guaranteed,A1BCXM3RDGUYA8,guaranteed,A2C6HMH2FDM2CI,guaranteed,AXY0D2AMLKE2A,guaranteed,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3126F2F5F83YE61255SXYNWVSNMEPD,hair,highlight,red,impossible,A13ZQSOMIZAN4Y,probably,A33KNBN0D47PN3,unlikely,A1BCXM3RDGUYA8,unlikely,A2C6HMH2FDM2CI,unrelated,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3126F2F5F83YE61255SXYNWVSNMEPD,hair,highlight,dark,impossible,A13ZQSOMIZAN4Y,probably,A33KNBN0D47PN3,unlikely,A1BCXM3RDGUYA8,unlikely,A2C6HMH2FDM2CI,unrelated,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,33K3E8REWWVMEET2ETGE0QMCJJWX8K,meter,button,sound,wjj-nonsense,A33KNBN0D47PN3,impossible,A2C6HMH2FDM2CI,probably,A1FO99U5T2TBBP,wjj-nonsense,A1TLKBW8KT7L6F,probably,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,33K3E8REWWVMEET2ETGE0QMCJJWX8K,meter,button,white,probably,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,unrelated,A1FO99U5T2TBBP,unlikely,A1TLKBW8KT7L6F,unrelated,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,30EV7DWJTVVOA50OQA5IZQXUFU16YE,platform,brick,wooden,unrelated,A1BCXM3RDGUYA8,impossible,A2C6HMH2FDM2CI,impossible,AXY0D2AMLKE2A,impossible,A1TLKBW8KT7L6F,impossible,A3QMAS3KVQTPW0
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,30EV7DWJTVVOA50OQA5IZQXUFU16YE,platform,brick,gray,unrelated,A1BCXM3RDGUYA8,probably,A2C6HMH2FDM2CI,unrelated,AXY0D2AMLKE2A,unrelated,A1TLKBW8KT7L6F,unrelated,A3QMAS3KVQTPW0
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,30EV7DWJTVVOA50OQA5IZQXUFU16YE,platform,brick,raised,probably,A1BCXM3RDGUYA8,guaranteed,A2C6HMH2FDM2CI,guaranteed,AXY0D2AMLKE2A,probably,A1TLKBW8KT7L6F,guaranteed,A3QMAS3KVQTPW0
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3B623HUYJ4QEIX73KJAR1I5K44US87,woman,chain,beautiful,unrelated,A33KNBN0D47PN3,unrelated,AON5C6ZFYSIUN,unrelated,A2C6HMH2FDM2CI,unrelated,AZBHD78KQMIKB,unrelated,AXY0D2AMLKE2A
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3B623HUYJ4QEIX73KJAR1I5K44US87,woman,chain,poor,unrelated,A33KNBN0D47PN3,probably,AON5C6ZFYSIUN,unrelated,A2C6HMH2FDM2CI,unrelated,AZBHD78KQMIKB,impossible,AXY0D2AMLKE2A
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3XD2A6FGFNUEW2QDPBG51E0VOACS9W,tomato,stem,red,impossible,AX0Q8FN7BIFGI,unlikely,AON5C6ZFYSIUN,impossible,A33KNBN0D47PN3,unlikely,A2C6HMH2FDM2CI,impossible,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3XD2A6FGFNUEW2QDPBG51E0VOACS9W,tomato,stem,ripe,probably,AX0Q8FN7BIFGI,guaranteed,AON5C6ZFYSIUN,probably,A33KNBN0D47PN3,guaranteed,A2C6HMH2FDM2CI,unrelated,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3XD2A6FGFNUEW2QDPBG51E0VOACS9W,tomato,stem,fresh,probably,AX0Q8FN7BIFGI,guaranteed,AON5C6ZFYSIUN,guaranteed,A33KNBN0D47PN3,guaranteed,A2C6HMH2FDM2CI,probably,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3TX9T2ZCB91M9APZDEK5BR599QXZWY,bed,frame,narrow,guaranteed,AON5C6ZFYSIUN,guaranteed,A2C6HMH2FDM2CI,guaranteed,A1BCXM3RDGUYA8,probably,A1FO99U5T2TBBP,impossible,A29CPTGC7FNLTB
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3TX9T2ZCB91M9APZDEK5BR599QXZWY,bed,frame,wooden,guaranteed,AON5C6ZFYSIUN,probably,A2C6HMH2FDM2CI,unrelated,A1BCXM3RDGUYA8,probably,A1FO99U5T2TBBP,unlikely,A29CPTGC7FNLTB
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3TX9T2ZCB91M9APZDEK5BR599QXZWY,bed,frame,warm,unlikely,AON5C6ZFYSIUN,unlikely,A2C6HMH2FDM2CI,unlikely,A1BCXM3RDGUYA8,impossible,A1FO99U5T2TBBP,impossible,A29CPTGC7FNLTB
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3TX9T2ZCB91M9APZDEK5BR599QXZWY,bed,frame,dry,probably,AON5C6ZFYSIUN,guaranteed,A2C6HMH2FDM2CI,probably,A1BCXM3RDGUYA8,probably,A1FO99U5T2TBBP,guaranteed,A29CPTGC7FNLTB
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3TX9T2ZCB91M9APZDEK5BR599QXZWY,bed,frame,comfortable,impossible,AON5C6ZFYSIUN,impossible,A2C6HMH2FDM2CI,impossible,A1BCXM3RDGUYA8,unrelated,A1FO99U5T2TBBP,probably,A29CPTGC7FNLTB
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3TX9T2ZCB91M9APZDEK5BR599QXZWY,bed,frame,made,impossible,AON5C6ZFYSIUN,impossible,A2C6HMH2FDM2CI,impossible,A1BCXM3RDGUYA8,impossible,A1FO99U5T2TBBP,guaranteed,A29CPTGC7FNLTB
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3MQY1YVHS3K4FWOCTGFV12IHEGH2BE,duck,back,fat,probably,A33VGSEJ44ORMF,probably,A33KNBN0D47PN3,guaranteed,A2C6HMH2FDM2CI,probably,A1BCXM3RDGUYA8,probably,A2VFH95BVFIU5K
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3MQY1YVHS3K4FWOCTGFV12IHEGH2BE,duck,back,white,guaranteed,A33VGSEJ44ORMF,probably,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,unrelated,A1BCXM3RDGUYA8,guaranteed,A2VFH95BVFIU5K
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3TFJJUELSHPNP1GI7GBQCMOZW1H2CL,girl,ski,old,unrelated,A13ZQSOMIZAN4Y,unlikely,A33KNBN0D47PN3,unrelated,A3EG6YEKPXRBJO,guaranteed,A14EEWC3KEF63G,unrelated,A1BCXM3RDGUYA8
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,37G6BXQPLQLJEI2H5I7MYSM5XJ8EQ4,steer,leg,brown,unrelated,A2C6HMH2FDM2CI,probably,A1FO99U5T2TBBP,probably,AXY0D2AMLKE2A,probably,A1TLKBW8KT7L6F,probably,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,37G6BXQPLQLJEI2H5I7MYSM5XJ8EQ4,steer,leg,clear,wjj-nonsense,A2C6HMH2FDM2CI,probably,A1FO99U5T2TBBP,wjj-nonsense,AXY0D2AMLKE2A,wjj-nonsense,A1TLKBW8KT7L6F,probably,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,37G6BXQPLQLJEI2H5I7MYSM5XJ8EQ4,steer,leg,young,guaranteed,A2C6HMH2FDM2CI,guaranteed,A1FO99U5T2TBBP,guaranteed,AXY0D2AMLKE2A,guaranteed,A1TLKBW8KT7L6F,guaranteed,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3WJGKMRWVI9ASBEY45V785F3TS6CD4,television,frame,black,probably,A2VFH95BVFIU5K,probably,A2C6HMH2FDM2CI,guaranteed,A1FO99U5T2TBBP,unrelated,AXY0D2AMLKE2A,unrelated,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3WJGKMRWVI9ASBEY45V785F3TS6CD4,television,frame,educational,wjj-nonsense,A2VFH95BVFIU5K,impossible,A2C6HMH2FDM2CI,unrelated,A1FO99U5T2TBBP,wjj-nonsense,AXY0D2AMLKE2A,impossible,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3WJGKMRWVI9ASBEY45V785F3TS6CD4,television,frame,national,wjj-nonsense,A2VFH95BVFIU5K,impossible,A2C6HMH2FDM2CI,unrelated,A1FO99U5T2TBBP,wjj-nonsense,AXY0D2AMLKE2A,impossible,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3WJGKMRWVI9ASBEY45V785F3TS6CD4,television,frame,american,guaranteed,A2VFH95BVFIU5K,probably,A2C6HMH2FDM2CI,guaranteed,A1FO99U5T2TBBP,probably,AXY0D2AMLKE2A,impossible,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3WJGKMRWVI9ASBEY45V785F3TS6CD4,television,frame,public,guaranteed,A2VFH95BVFIU5K,impossible,A2C6HMH2FDM2CI,guaranteed,A1FO99U5T2TBBP,guaranteed,AXY0D2AMLKE2A,impossible,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3WJGKMRWVI9ASBEY45V785F3TS6CD4,television,frame,long,unrelated,A2VFH95BVFIU5K,guaranteed,A2C6HMH2FDM2CI,guaranteed,A1FO99U5T2TBBP,guaranteed,AXY0D2AMLKE2A,impossible,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3WJGKMRWVI9ASBEY45V785F3TS6CD4,television,frame,commercial,guaranteed,A2VFH95BVFIU5K,impossible,A2C6HMH2FDM2CI,probably,A1FO99U5T2TBBP,wjj-nonsense,AXY0D2AMLKE2A,impossible,A1TLKBW8KT7L6F
