title,url,HITId,whole,part,jj,result1,worker1,result2,worker2,result3,worker3
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3XBYQ44Z6O3H558A56R08YKGF1UWTF,pancake,sugar,brown,unrelated,A25UZQENK9A4PL,unlikely,A3265QTYKPZMC6,unrelated,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3XBYQ44Z6O3H558A56R08YKGF1UWTF,pancake,sugar,thin,pjj-nonsense,A25UZQENK9A4PL,pjj-nonsense,A3265QTYKPZMC6,unrelated,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3XBYQ44Z6O3H558A56R08YKGF1UWTF,pancake,sugar,dear,unrelated,A25UZQENK9A4PL,pjj-nonsense,A3265QTYKPZMC6,pjj-nonsense,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3XBYQ44Z6O3H558A56R08YKGF1UWTF,pancake,sugar,thick,pjj-nonsense,A25UZQENK9A4PL,pjj-nonsense,A3265QTYKPZMC6,unrelated,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3VW0145YLXBRMQIRPA79XUVGJXPJM6,tennis court,fence,open,impossible,A2VFH95BVFIU5K,unlikely,A1VNV1899K7L05,guaranteed,A1A3CN8H5HXTSN
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3VW0145YLXBRMQIRPA79XUVGJXPJM6,tennis court,fence,white,unrelated,A2VFH95BVFIU5K,unrelated,A1VNV1899K7L05,unrelated,A1A3CN8H5HXTSN
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3QO7EE372NMCPMI7TB19GFW8LTEBQ1,building,post,brown,unrelated,A25UZQENK9A4PL,probably,A1CQPRZUT6BW44,probably,A1A3CN8H5HXTSN
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3QO7EE372NMCPMI7TB19GFW8LTEBQ1,building,post,old,probably,A25UZQENK9A4PL,guaranteed,A1CQPRZUT6BW44,probably,A1A3CN8H5HXTSN
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3QO7EE372NMCPMI7TB19GFW8LTEBQ1,building,post,public,guaranteed,A25UZQENK9A4PL,guaranteed,A1CQPRZUT6BW44,guaranteed,A1A3CN8H5HXTSN
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3QO7EE372NMCPMI7TB19GFW8LTEBQ1,building,post,original,guaranteed,A25UZQENK9A4PL,pjj-nonsense,A1CQPRZUT6BW44,guaranteed,A1A3CN8H5HXTSN
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3QO7EE372NMCPMI7TB19GFW8LTEBQ1,building,post,tall,guaranteed,A25UZQENK9A4PL,guaranteed,A1CQPRZUT6BW44,probably,A1A3CN8H5HXTSN
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3QO7EE372NMCPMI7TB19GFW8LTEBQ1,building,post,fine,unrelated,A25UZQENK9A4PL,guaranteed,A1CQPRZUT6BW44,probably,A1A3CN8H5HXTSN
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,34O39PNDK57C1NX76QQ9L56DHFGBR2,doll,face,baby,guaranteed,AVLZVLVL2X60,guaranteed,A1A3CN8H5HXTSN,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,34O39PNDK57C1NX76QQ9L56DHFGBR2,doll,face,old,guaranteed,AVLZVLVL2X60,guaranteed,A1A3CN8H5HXTSN,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,34O39PNDK57C1NX76QQ9L56DHFGBR2,doll,face,broken,probably,AVLZVLVL2X60,unrelated,A1A3CN8H5HXTSN,unlikely,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,34O39PNDK57C1NX76QQ9L56DHFGBR2,doll,face,white,guaranteed,AVLZVLVL2X60,guaranteed,A1A3CN8H5HXTSN,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,34O39PNDK57C1NX76QQ9L56DHFGBR2,doll,face,naked,pjj-nonsense,AVLZVLVL2X60,guaranteed,A1A3CN8H5HXTSN,unrelated,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,34O39PNDK57C1NX76QQ9L56DHFGBR2,doll,face,wooden,guaranteed,AVLZVLVL2X60,probably,A1A3CN8H5HXTSN,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,34O39PNDK57C1NX76QQ9L56DHFGBR2,doll,face,beautiful,probably,AVLZVLVL2X60,probably,A1A3CN8H5HXTSN,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3XT3KXP24YXT2CDTKCFSWXJUGIM6I8,chair,upholstery,comfortable,probably,ASW9MABLSXSPK,guaranteed,A25UZQENK9A4PL,probably,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3XT3KXP24YXT2CDTKCFSWXJUGIM6I8,chair,upholstery,purple,unrelated,ASW9MABLSXSPK,guaranteed,A25UZQENK9A4PL,probably,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3ZQA3IO31AQ8RCNZC1GGLYOZKG51O0,window,word,open,unrelated,A1A3CN8H5HXTSN,impossible,AVLZVLVL2X60,impossible,ASW9MABLSXSPK
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3ZQA3IO31AQ8RCNZC1GGLYOZKG51O0,window,word,high,guaranteed,A1A3CN8H5HXTSN,guaranteed,AVLZVLVL2X60,probably,ASW9MABLSXSPK
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3ZQA3IO31AQ8RCNZC1GGLYOZKG51O0,window,word,broken,probably,A1A3CN8H5HXTSN,impossible,AVLZVLVL2X60,probably,ASW9MABLSXSPK
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3ZQA3IO31AQ8RCNZC1GGLYOZKG51O0,window,word,clean,guaranteed,A1A3CN8H5HXTSN,probably,AVLZVLVL2X60,probably,ASW9MABLSXSPK
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,34KYK9TV2Q7O22XKLFQEBFB93HZBSQ,umbrella,top,open,guaranteed,A1A3CN8H5HXTSN,impossible,AVLZVLVL2X60,guaranteed,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,34KYK9TV2Q7O22XKLFQEBFB93HZBSQ,umbrella,top,white,unrelated,A1A3CN8H5HXTSN,unrelated,AVLZVLVL2X60,guaranteed,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,375VSR8FVV88JL0NC46C7NDG8I1RZN,chef,hand,french,probably,A3265QTYKPZMC6,guaranteed,A1A3CN8H5HXTSN,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,375VSR8FVV88JL0NC46C7NDG8I1RZN,chef,hand,excellent,pjj-nonsense,A3265QTYKPZMC6,probably,A1A3CN8H5HXTSN,unrelated,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,375VSR8FVV88JL0NC46C7NDG8I1RZN,chef,hand,famous,pjj-nonsense,A3265QTYKPZMC6,probably,A1A3CN8H5HXTSN,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,375VSR8FVV88JL0NC46C7NDG8I1RZN,chef,hand,white,guaranteed,A3265QTYKPZMC6,guaranteed,A1A3CN8H5HXTSN,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,375VSR8FVV88JL0NC46C7NDG8I1RZN,chef,hand,professional,pjj-nonsense,A3265QTYKPZMC6,probably,A1A3CN8H5HXTSN,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,375VSR8FVV88JL0NC46C7NDG8I1RZN,chef,hand,personal,pjj-nonsense,A3265QTYKPZMC6,guaranteed,A1A3CN8H5HXTSN,unrelated,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,375VSR8FVV88JL0NC46C7NDG8I1RZN,chef,hand,working,probably,A3265QTYKPZMC6,guaranteed,A1A3CN8H5HXTSN,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3CKVGCS3PF4NIFUANZTPRYFQCD1S0K,ceiling,beam,flat,impossible,A1A3CN8H5HXTSN,unrelated,AVLZVLVL2X60,probably,A3265QTYKPZMC6
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3CKVGCS3PF4NIFUANZTPRYFQCD1S0K,ceiling,beam,low,guaranteed,A1A3CN8H5HXTSN,guaranteed,AVLZVLVL2X60,guaranteed,A3265QTYKPZMC6
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3CKVGCS3PF4NIFUANZTPRYFQCD1S0K,ceiling,beam,white,unrelated,A1A3CN8H5HXTSN,probably,AVLZVLVL2X60,unrelated,A3265QTYKPZMC6
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3CKVGCS3PF4NIFUANZTPRYFQCD1S0K,ceiling,beam,vaulted,unrelated,A1A3CN8H5HXTSN,pjj-nonsense,AVLZVLVL2X60,pjj-nonsense,A3265QTYKPZMC6
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3CKVGCS3PF4NIFUANZTPRYFQCD1S0K,ceiling,beam,high,guaranteed,A1A3CN8H5HXTSN,probably,AVLZVLVL2X60,guaranteed,A3265QTYKPZMC6
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,382GHPVPHRQ0XMRWGLFQVTXR19J43L,coat,lapel,white,probably,A1A3CN8H5HXTSN,probably,A3265QTYKPZMC6,probably,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,335VBRURDIZ44QD5M0SDVSC4EQNE9I,face,smile,yellow,unrelated,A25UZQENK9A4PL,unlikely,A1CQPRZUT6BW44,unrelated,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,335VBRURDIZ44QD5M0SDVSC4EQNE9I,face,smile,handsome,probably,A25UZQENK9A4PL,probably,A1CQPRZUT6BW44,probably,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,335VBRURDIZ44QD5M0SDVSC4EQNE9I,face,smile,light,unrelated,A25UZQENK9A4PL,probably,A1CQPRZUT6BW44,unrelated,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,335VBRURDIZ44QD5M0SDVSC4EQNE9I,face,smile,beautiful,guaranteed,A25UZQENK9A4PL,probably,A1CQPRZUT6BW44,probably,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,335VBRURDIZ44QD5M0SDVSC4EQNE9I,face,smile,hers,guaranteed,A25UZQENK9A4PL,guaranteed,A1CQPRZUT6BW44,guaranteed,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3A520CCNWMZI99NAE66DRNNOK85EAX,floor,drain,concrete,probably,A2DNSD743W4OC2,unlikely,A1A3CN8H5HXTSN,impossible,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3A520CCNWMZI99NAE66DRNNOK85EAX,floor,drain,pelvic,unrelated,A2DNSD743W4OC2,unrelated,A1A3CN8H5HXTSN,pjj-nonsense,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3A520CCNWMZI99NAE66DRNNOK85EAX,floor,drain,wooden,unlikely,A2DNSD743W4OC2,unlikely,A1A3CN8H5HXTSN,impossible,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3XU80RHWHYFLFIA0GZK95YPXF9F446,house,roof,old,probably,A3265QTYKPZMC6,guaranteed,A1A3CN8H5HXTSN,probably,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3XU80RHWHYFLFIA0GZK95YPXF9F446,house,roof,tan,unrelated,A3265QTYKPZMC6,unrelated,A1A3CN8H5HXTSN,probably,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3XU80RHWHYFLFIA0GZK95YPXF9F446,house,roof,empty,pjj-nonsense,A3265QTYKPZMC6,guaranteed,A1A3CN8H5HXTSN,unrelated,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3XU80RHWHYFLFIA0GZK95YPXF9F446,house,roof,brown,unrelated,A3265QTYKPZMC6,unrelated,A1A3CN8H5HXTSN,probably,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3XU80RHWHYFLFIA0GZK95YPXF9F446,house,roof,private,pjj-nonsense,A3265QTYKPZMC6,guaranteed,A1A3CN8H5HXTSN,guaranteed,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3SMIWMMK604W5INZ5BHADU6IYF1WU6,cat,stripe,white,unlikely,A1A3CN8H5HXTSN,probably,AVLZVLVL2X60,impossible,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,3SMIWMMK604W5INZ5BHADU6IYF1WU6,cat,stripe,old,guaranteed,A1A3CN8H5HXTSN,guaranteed,AVLZVLVL2X60,guaranteed,A30NX5HEQGGFPP
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,30F94FBDNQJPH2AZAFV4LK7V50DBTF,shirt,flower,white,unlikely,A1A3CN8H5HXTSN,unrelated,AVLZVLVL2X60,unlikely,ASW9MABLSXSPK
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,336OE47KI1JWIXCZA1RF9G81CMAWVV,puppy,nose,sick,probably,A1A3CN8H5HXTSN,impossible,AVLZVLVL2X60,probably,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,336OE47KI1JWIXCZA1RF9G81CMAWVV,puppy,nose,stuffed,guaranteed,A1A3CN8H5HXTSN,probably,AVLZVLVL2X60,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,336OE47KI1JWIXCZA1RF9G81CMAWVV,puppy,nose,white,unrelated,A1A3CN8H5HXTSN,impossible,AVLZVLVL2X60,unrelated,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,336OE47KI1JWIXCZA1RF9G81CMAWVV,puppy,nose,lost,guaranteed,A1A3CN8H5HXTSN,pjj-nonsense,AVLZVLVL2X60,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,336OE47KI1JWIXCZA1RF9G81CMAWVV,puppy,nose,young,guaranteed,A1A3CN8H5HXTSN,guaranteed,AVLZVLVL2X60,guaranteed,A25UZQENK9A4PL
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,351S7I5UG8VX483R1BM9A9KGONZJN6,top,number,open,impossible,A17FGZ1I5P9RZA,pjj-nonsense,A3265QTYKPZMC6,unlikely,AVLZVLVL2X60
Common sense visual reasoning 3,https://worker.mturk.com/mturk/preview?groupId=3SAOMJ8V4ALYTKRW8B03A9U22JR4W2,351S7I5UG8VX483R1BM9A9KGONZJN6,top,number,white,unlikely,A17FGZ1I5P9RZA,unrelated,A3265QTYKPZMC6,unlikely,AVLZVLVL2X60
