whole,part,jj,result1,result2,result3
horse,man,blue,unlikely,unlikely,unlikely
horse,man,old,unrelated,unrelated,unrelated
pant,line,rapid,wjj-nonsense,pjj-nonsense,pjj-nonsense
pant,line,white,unlikely,impossible,unlikely
pant,line,silvery,unlikely,impossible,unlikely
pant,line,wild,probably,probably,pjj-nonsense
pant,line,eternal,wjj-nonsense,pjj-nonsense,pjj-nonsense
pant,line,thirsty,wjj-nonsense,pjj-nonsense,pjj-nonsense
desk,edge,massive,guaranteed,guaranteed,probably
desk,edge,high,pjj-nonsense,guaranteed,probably
desk,edge,white,probably,probably,probably
desk,edge,wooden,probably,guaranteed,probably
desk,edge,folded,pjj-nonsense,probably,pjj-nonsense
desk,edge,old,guaranteed,guaranteed,guaranteed
keyboard,button,electronic,guaranteed,guaranteed,guaranteed
keyboard,button,white,probably,probably,probably
keyboard,button,standard,guaranteed,probably,guaranteed
keyboard,button,terminal,guaranteed,pjj-nonsense,pjj-nonsense
keyboard,button,virtual,guaranteed,guaranteed,guaranteed
post,edge,curved,guaranteed,guaranteed,guaranteed
post,edge,metal,guaranteed,guaranteed,guaranteed
post,edge,high,guaranteed,guaranteed,guaranteed
post,edge,tall,guaranteed,guaranteed,guaranteed
post,edge,official,guaranteed,pjj-nonsense,pjj-nonsense
post,edge,important,guaranteed,pjj-nonsense,guaranteed
post,edge,old,guaranteed,guaranteed,guaranteed
bus,ad,public,guaranteed,guaranteed,probably
bus,ad,black,unlikely,unrelated,unrelated
bus,ad,old,unrelated,unrelated,unlikely
pocket,flap,inner,impossible,guaranteed,guaranteed
pocket,flap,inside,probably,guaranteed,guaranteed
pocket,flap,periodontal,wjj-nonsense,word-nonsense,pjj-nonsense
pocket,flap,white,probably,probably,probably
pitcher,glove,empty,unrelated,wjj-nonsense,wjj-nonsense
pitcher,glove,white,unlikely,unrelated,unrelated
sign,shadow,outward,unrelated,pjj-nonsense,pjj-nonsense
sign,shadow,sure,guaranteed,pjj-nonsense,pjj-nonsense
sign,shadow,positive,unrelated,impossible,pjj-nonsense
sign,shadow,negative,unrelated,impossible,pjj-nonsense
sign,shadow,black,unrelated,unrelated,unrelated
horse,cloth,dead,impossible,impossible,impossible
horse,cloth,black,unrelated,unrelated,unlikely
horse,cloth,old,unrelated,unrelated,unlikely
man,strap,poor,pjj-nonsense,pjj-nonsense,pjj-nonsense
animal,snout,poor,guaranteed,pjj-nonsense,pjj-nonsense
animal,tongue,furry,unlikely,impossible,unlikely
animal,tongue,young,guaranteed,guaranteed,guaranteed
animal,tongue,human,wjj-nonsense,guaranteed,guaranteed
animal,tongue,brown,unrelated,impossible,unrelated
animal,tongue,experimental,guaranteed,pjj-nonsense,wjj-nonsense
animal,tongue,poor,unrelated,pjj-nonsense,impossible
animal,tongue,wild,guaranteed,pjj-nonsense,guaranteed
bus,advertisement,colorful,unrelated,unrelated,probably
bus,advertisement,public,guaranteed,impossible,guaranteed
bus,advertisement,black,unrelated,unrelated,unlikely
bus,advertisement,old,unrelated,unrelated,unrelated
hotdog,mustard,brown,unrelated,unlikely,unlikely
jacket,fur,short,unrelated,unrelated,unrelated
jacket,fur,white,probably,probably,unrelated
baby,neck,poor,pjj-nonsense,impossible,unrelated
baby,neck,young,guaranteed,guaranteed,guaranteed
baby,neck,healthy,guaranteed,guaranteed,guaranteed
baby,neck,grey,guaranteed,guaranteed,unrelated
box,corner,empty,guaranteed,pjj-nonsense,guaranteed
box,corner,appropriate,guaranteed,pjj-nonsense,guaranteed
box,corner,safe,guaranteed,probably,guaranteed
box,corner,grey,guaranteed,probably,guaranteed
field,tree,empty,pjj-nonsense,pjj-nonsense,unrelated
field,tree,open,unlikely,pjj-nonsense,unrelated
field,tree,overgrown,unlikely,pjj-nonsense,unrelated
field,tree,external,word-nonsense,pjj-nonsense,guaranteed
room,ceiling,inner,guaranteed,guaranteed,pjj-nonsense
room,ceiling,darkened,unrelated,guaranteed,impossible
room,ceiling,empty,pjj-nonsense,probably,impossible
room,ceiling,private,guaranteed,guaranteed,impossible
street,light,busy,unrelated,impossible,impossible
street,light,clean,probably,unrelated,probably
street,light,long,unrelated,unlikely,unrelated
street,light,public,guaranteed,impossible,guaranteed
street,light,narrow,unrelated,unrelated,unrelated
street,light,quiet,impossible,impossible,impossible
head,hat,dark,unrelated,unrelated,unrelated
head,hat,buffalo,unlikely,pjj-nonsense,wjj-nonsense
head,hat,fuzzy,unrelated,unrelated,unrelated
player,head,poor,unrelated,pjj-nonsense,impossible
player,head,professional,probably,pjj-nonsense,impossible
player,head,key,probably,pjj-nonsense,impossible
player,head,red,unrelated,guaranteed,probably
urinal,bowl,white,guaranteed,guaranteed,guaranteed
urinal,bowl,plastic,guaranteed,guaranteed,probably
urinal,bowl,porcelain,guaranteed,guaranteed,guaranteed
urinal,bowl,dirty,probably,guaranteed,guaranteed
urinal,bowl,broken,probably,unlikely,unrelated
doll,hand,white,probably,guaranteed,unlikely
doll,hand,naked,guaranteed,guaranteed,guaranteed
doll,hand,old,guaranteed,guaranteed,guaranteed
doll,hand,wooden,guaranteed,guaranteed,guaranteed
doll,hand,beautiful,probably,probably,guaranteed
doll,hand,broken,unrelated,probably,unlikely
bird,mouth,dead,guaranteed,guaranteed,guaranteed
bird,mouth,white,unrelated,unrelated,unlikely
bird,mouth,male,guaranteed,guaranteed,guaranteed
bird,mouth,beautiful,probably,unrelated,unrelated
bird,mouth,old,guaranteed,guaranteed,guaranteed
catcher,back,young,guaranteed,guaranteed,guaranteed
catcher,back,regular,probably,wjj-nonsense,impossible
catcher,back,defensive,guaranteed,pjj-nonsense,impossible
catcher,back,old,guaranteed,guaranteed,guaranteed
bottle,oil,empty,pjj-nonsense,guaranteed,guaranteed
bottle,oil,hot,guaranteed,guaranteed,guaranteed
bottle,oil,red,unrelated,unrelated,unlikely
structure,clock,economic,unrelated,pjj-nonsense,wjj-nonsense
structure,clock,political,guaranteed,pjj-nonsense,wjj-nonsense
structure,clock,white,unrelated,probably,unlikely
structure,clock,internal,guaranteed,wjj-nonsense,wjj-nonsense
foot,claw,brown,unlikely,unrelated,unlikely
foot,claw,linear,pjj-nonsense,guaranteed,pjj-nonsense
person,thumb,human,guaranteed,guaranteed,guaranteed
kid,leg,young,guaranteed,guaranteed,guaranteed
kid,leg,nice,unrelated,unrelated,impossible
kid,leg,white,guaranteed,guaranteed,guaranteed
kid,leg,poor,unrelated,pjj-nonsense,impossible
daisy,center,poor,unrelated,guaranteed,pjj-nonsense
daisy,center,yellow,unrelated,unlikely,unlikely
daisy,center,dear,probably,guaranteed,pjj-nonsense
cat,tail,white,probably,unrelated,probably
cat,tail,old,guaranteed,guaranteed,guaranteed
window,bar,clean,probably,probably,probably
window,bar,high,guaranteed,guaranteed,guaranteed
window,bar,square,unlikely,impossible,impossible
window,bar,brown,unrelated,unrelated,probably
window,bar,open,unlikely,unrelated,probably
window,bar,broken,unrelated,unrelated,unlikely
tree,stick,green,unlikely,unlikely,unlikely
tree,stick,tall,guaranteed,probably,unlikely
tree,stick,hollow,impossible,probably,unlikely
tree,stick,old,unrelated,probably,probably
toilet,base,pulmonary,wjj-nonsense,wjj-nonsense,pjj-nonsense
toilet,base,white,probably,probably,probably
toilet,base,clear,wjj-nonsense,unrelated,probably
toilet,base,closed,impossible,impossible,guaranteed
fire hydrant,sticker,red,unrelated,unlikely,unrelated
couch,armrest,wooden,probably,unlikely,probably
ski,edge,flat,guaranteed,impossible,guaranteed
ski,edge,white,guaranteed,probably,guaranteed
ski,edge,outside,guaranteed,guaranteed,guaranteed
ski,edge,uphill,guaranteed,guaranteed,guaranteed
ski,edge,long,guaranteed,guaranteed,guaranteed
ski,edge,free,guaranteed,impossible,guaranteed
ski,edge,inside,guaranteed,guaranteed,guaranteed
tub,foot,huge,probably,probably,unlikely
tub,foot,one,pjj-nonsense,guaranteed,impossible
tub,foot,round,unrelated,unrelated,impossible
tub,foot,white,probably,unrelated,impossible
tub,foot,old,probably,guaranteed,guaranteed
tub,foot,wooden,probably,unrelated,impossible
tub,foot,plastic,probably,unrelated,impossible
tub,foot,deep,pjj-nonsense,unrelated,impossible
wall,graffiti,high,unrelated,unlikely,pjj-nonsense
wall,graffiti,white,unlikely,unlikely,unrelated
skirt,flower,long,unrelated,unrelated,unrelated
skirt,flower,short,unrelated,unrelated,unrelated
skirt,flower,white,unlikely,unrelated,unrelated
train,back,electric,unrelated,unlikely,pjj-nonsense
train,back,long,impossible,probably,impossible
train,back,red,unrelated,probably,probably
train,back,slow,guaranteed,impossible,guaranteed
train,back,regular,guaranteed,probably,guaranteed
elephant,wrinkle,red,unlikely,guaranteed,guaranteed
street,line,busy,impossible,guaranteed,impossible
street,line,clean,probably,guaranteed,probably
street,line,long,probably,guaranteed,guaranteed
street,line,public,impossible,guaranteed,pjj-nonsense
street,line,narrow,unrelated,guaranteed,unlikely
street,line,quiet,impossible,guaranteed,impossible
child,ponytail,blonde,unrelated,guaranteed,guaranteed
pavement,shadow,hard,impossible,guaranteed,impossible
pavement,shadow,grey,probably,probably,probably
pavement,shadow,smooth,impossible,guaranteed,pjj-nonsense
pavement,shadow,wet,impossible,probably,guaranteed
pavement,shadow,old,impossible,impossible,pjj-nonsense
guy,foot,poor,unrelated,pjj-nonsense,impossible
guy,foot,young,guaranteed,guaranteed,guaranteed
guy,foot,nice,unrelated,unrelated,impossible
guy,foot,old,guaranteed,guaranteed,guaranteed
man,band,poor,impossible,unrelated,pjj-nonsense
orange,leaf,orange,unlikely,unlikely,impossible
orange,leaf,pale,unlikely,unrelated,unrelated
orange,leaf,shiny,unrelated,unrelated,unrelated
orange,leaf,round,unlikely,unlikely,unlikely
orange,leaf,bright,unrelated,unrelated,unlikely
orange,leaf,deep,pjj-nonsense,impossible,pjj-nonsense
hand,phone,open,unrelated,unrelated,unrelated
dog,glass,dead,impossible,impossible,impossible
dog,glass,white,unlikely,impossible,unrelated
dog,glass,old,unrelated,unrelated,unrelated
station,window,mobile,guaranteed,impossible,pjj-nonsense
station,window,high,guaranteed,probably,probably
station,window,empty,guaranteed,unrelated,guaranteed
station,window,private,guaranteed,guaranteed,guaranteed
station,window,old,guaranteed,probably,probably
umpire,leg,natural,probably,probably,pjj-nonsense
umpire,leg,white,guaranteed,guaranteed,guaranteed
umpire,leg,neutral,pjj-nonsense,probably,pjj-nonsense
trash can,bag,overflowing,guaranteed,guaranteed,guaranteed
trash can,bag,grey,unrelated,unrelated,unrelated
trash can,bag,latter,wjj-nonsense,wjj-nonsense,pjj-nonsense
trash can,bag,empty,guaranteed,guaranteed,guaranteed
trash can,bag,open,guaranteed,probably,guaranteed
trash can,bag,old,unlikely,unrelated,unrelated
seagull,beak,white,unlikely,unlikely,impossible
plane,star,horizontal,probably,guaranteed,impossible
plane,star,white,unlikely,unlikely,unlikely
plane,belly,white,unrelated,probably,unrelated
girl,ski,old,unrelated,unrelated,unrelated
train,front,slow,guaranteed,guaranteed,guaranteed
train,front,long,unrelated,unlikely,unrelated
train,front,red,unrelated,probably,unrelated
train,front,regular,probably,guaranteed,probably
bus,design,external,unrelated,guaranteed,guaranteed
bus,design,public,guaranteed,guaranteed,guaranteed
bus,design,crowded,unrelated,unrelated,unrelated
bus,design,colorful,unrelated,unrelated,guaranteed
bus,design,black,unrelated,unlikely,guaranteed
bus,design,old,unrelated,unlikely,probably
paper,donut,free,unrelated,unlikely,unlikely
kid,glove,poor,unrelated,unrelated,unlikely
kid,glove,nice,unrelated,unrelated,pjj-nonsense
kid,glove,white,unrelated,unlikely,unlikely
kid,glove,smart,impossible,unrelated,pjj-nonsense
wall,block,high,unrelated,unrelated,unrelated
wall,block,white,probably,guaranteed,probably
wall,block,anterior,probably,guaranteed,guaranteed
wall,block,posterior,probably,guaranteed,guaranteed
wall,block,lateral,probably,unrelated,probably
suitcase,handle,heavy,unlikely,impossible,unlikely
suitcase,handle,green,probably,probably,probably
suitcase,handle,empty,impossible,impossible,unlikely
suitcase,handle,dark,probably,probably,probably
suitcase,handle,open,unlikely,impossible,unlikely
suitcase,handle,battered,unrelated,probably,pjj-nonsense
suitcase,handle,old,guaranteed,guaranteed,probably
guy,boot,poor,unrelated,impossible,pjj-nonsense
guy,boot,old,unrelated,unrelated,unrelated
water,foam,blue,unlikely,unlikely,unlikely
water,foam,clear,unlikely,impossible,impossible
water,foam,warm,guaranteed,guaranteed,probably
vase,handle,crystal,guaranteed,probably,guaranteed
vase,handle,golden,probably,probably,guaranteed
vase,handle,porcelain,guaranteed,probably,guaranteed
vase,handle,black,probably,probably,probably
vase,handle,broken,probably,unrelated,probably
boy,hat,nice,unrelated,unrelated,unrelated
tree,frond,green,probably,guaranteed,guaranteed
tree,frond,tall,impossible,guaranteed,guaranteed
tree,frond,hollow,unrelated,impossible,impossible
tree,frond,old,unlikely,probably,probably
jacket,zipper,short,probably,guaranteed,guaranteed
plate,reflection,round,guaranteed,unlikely,probably
plate,reflection,empty,guaranteed,impossible,pjj-nonsense
plate,reflection,white,impossible,probably,probably
plate,reflection,thin,unrelated,impossible,probably
elephant,trunk,young,guaranteed,guaranteed,guaranteed
elephant,trunk,wild,guaranteed,guaranteed,impossible
elephant,trunk,red,guaranteed,guaranteed,guaranteed
elephant,mouth,young,guaranteed,guaranteed,guaranteed
elephant,mouth,gold,probably,probably,guaranteed
elephant,mouth,wild,guaranteed,impossible,impossible
elephant,mouth,grey,probably,probably,guaranteed
woman,cup,poor,unrelated,pjj-nonsense,impossible
woman,cup,beautiful,unrelated,unrelated,impossible
cat,nail,white,unrelated,probably,unrelated
cat,nail,old,guaranteed,probably,probably
man,expression,poor,unrelated,pjj-nonsense,impossible
racket,shadow,terrific,unrelated,unrelated,pjj-nonsense
racket,shadow,awful,unrelated,unrelated,unlikely
racket,shadow,held,impossible,impossible,impossible
racket,shadow,red,unrelated,impossible,unlikely
racket,shadow,tremendous,unrelated,unrelated,impossible
racket,shadow,terrible,unrelated,unrelated,impossible
child,jacket,poor,unrelated,pjj-nonsense,impossible
child,jacket,young,unrelated,unrelated,impossible
desk,lamp,massive,unrelated,unrelated,unlikely
desk,lamp,high,guaranteed,unrelated,guaranteed
desk,lamp,white,unrelated,unrelated,unrelated
desk,lamp,wooden,unrelated,impossible,unlikely
desk,lamp,old,unrelated,unrelated,unrelated
female,mouth,young,guaranteed,guaranteed,guaranteed
female,mouth,human,guaranteed,guaranteed,guaranteed
female,mouth,white,guaranteed,unlikely,probably
female,mouth,male,wjj-nonsense,guaranteed,wjj-nonsense
kid,nose,young,guaranteed,guaranteed,guaranteed
kid,nose,nice,unrelated,unrelated,unrelated
kid,nose,white,guaranteed,guaranteed,guaranteed
kid,nose,poor,probably,unrelated,pjj-nonsense
sheep,eye,fat,impossible,unlikely,unrelated
sheep,eye,fetal,pjj-nonsense,guaranteed,guaranteed
car,sign,open,unrelated,pjj-nonsense,pjj-nonsense
car,sign,white,unlikely,unrelated,unrelated
car,sign,private,unlikely,guaranteed,pjj-nonsense
car,sign,old,unrelated,probably,probably
wristband,logo,white,unrelated,impossible,unlikely
man,red,poor,unrelated,impossible,pjj-nonsense
porch,railing,open,guaranteed,guaranteed,guaranteed
porch,railing,wide,guaranteed,guaranteed,probably
porch,railing,wooden,probably,probably,unrelated
porch,railing,white,probably,probably,probably
dish,vegetable,buttered,guaranteed,guaranteed,probably
dish,vegetable,hot,probably,guaranteed,probably
dish,vegetable,white,unlikely,unlikely,unrelated
dish,vegetable,deep,pjj-nonsense,guaranteed,pjj-nonsense
airplane,name,commercial,probably,guaranteed,probably
airplane,name,conventional,unrelated,unrelated,probably
airplane,name,light,unrelated,unrelated,pjj-nonsense
airplane,name,white,unlikely,unlikely,impossible
airplane,name,american,unrelated,guaranteed,probably
airplane,name,private,unrelated,guaranteed,impossible
grass,weed,green,probably,probably,unlikely
grass,weed,long,probably,probably,unlikely
grass,weed,dry,guaranteed,probably,unlikely
player,wrist,poor,unrelated,pjj-nonsense,impossible
player,wrist,red,unrelated,probably,guaranteed
sink,part,clean,guaranteed,probably,probably
sink,part,dry,guaranteed,guaranteed,probably
sink,part,shiny,guaranteed,probably,probably
sink,part,old,guaranteed,guaranteed,guaranteed
sink,part,sun,wjj-nonsense,pjj-nonsense,pjj-nonsense
sink,part,stainless,guaranteed,probably,probably
sink,part,porcelain,guaranteed,guaranteed,probably
sink,part,grey,guaranteed,guaranteed,probably
chair,arm,slender,unrelated,probably,probably
chair,arm,purple,probably,probably,probably
chair,arm,comfortable,probably,probably,probably
chair,arm,empty,probably,guaranteed,pjj-nonsense
church,window,ancient,probably,probably,probably
church,window,true,wjj-nonsense,pjj-nonsense,guaranteed
church,window,primitive,probably,probably,probably
church,window,old,probably,probably,probably
can,soda,empty,impossible,guaranteed,guaranteed
can,soda,white,unrelated,unrelated,impossible
can,soda,old,probably,guaranteed,guaranteed
can,soda,wet,guaranteed,guaranteed,unrelated
motorcycle,box,used,probably,unlikely,probably
motorcycle,box,black,unrelated,unlikely,probably
motorcycle,box,old,probably,guaranteed,probably
motorcycle,box,indian,unrelated,pjj-nonsense,pjj-nonsense
face,goggles,yellow,unrelated,unrelated,unrelated
face,goggles,light,unrelated,unrelated,unrelated
mirror,light,concave,unrelated,unrelated,unlikely
mirror,light,spherical,unrelated,unrelated,unrelated
mirror,light,magic,unrelated,pjj-nonsense,unrelated
mirror,light,grey,unlikely,unlikely,unlikely
mirror,light,long,unrelated,unrelated,unrelated
mirror,light,broken,unrelated,unrelated,unlikely
man,hair,poor,unrelated,pjj-nonsense,impossible
leaf,spot,dead,probably,probably,guaranteed
leaf,spot,dry,guaranteed,probably,guaranteed
leaf,spot,blank,unrelated,impossible,pjj-nonsense
leaf,spot,green,unlikely,unlikely,unlikely
leaf,spot,reddish,unlikely,unlikely,unlikely
building,pipe,tall,guaranteed,guaranteed,probably
building,pipe,original,guaranteed,probably,pjj-nonsense
building,pipe,public,guaranteed,guaranteed,guaranteed
building,pipe,brown,unrelated,unrelated,unrelated
building,pipe,fine,unrelated,probably,wjj-nonsense
building,pipe,old,probably,probably,probably
jacket,sleeve,short,guaranteed,unlikely,unrelated
jacket,sleeve,white,guaranteed,probably,probably
pant,belt,white,unrelated,unrelated,unrelated
pant,belt,eternal,wjj-nonsense,pjj-nonsense,guaranteed
guy,pant,poor,unrelated,pjj-nonsense,pjj-nonsense
guy,pant,old,unrelated,unrelated,unrelated
road,line,clean,probably,probably,probably
road,line,open,pjj-nonsense,guaranteed,pjj-nonsense
road,line,grey,unlikely,impossible,unrelated
road,line,long,guaranteed,guaranteed,unrelated
road,line,empty,pjj-nonsense,guaranteed,pjj-nonsense
road,line,narrow,probably,unrelated,unrelated
road,line,old,probably,unlikely,probably
home,roof,painted,unlikely,unlikely,unlikely
home,roof,straight,unrelated,unlikely,probably
home,roof,green,unrelated,unrelated,unrelated
home,roof,happy,impossible,pjj-nonsense,impossible
home,roof,tan,unrelated,unrelated,unrelated
home,roof,permanent,guaranteed,pjj-nonsense,guaranteed
home,roof,old,probably,probably,probably
sink,fixture,porcelain,unlikely,impossible,unrelated
sink,fixture,old,probably,probably,probably
table,bench,long,probably,guaranteed,probably
table,bench,white,unrelated,guaranteed,probably
table,bench,above,pjj-nonsense,impossible,pjj-nonsense
side,door,dark,probably,probably,unlikely
side,door,inner,guaranteed,probably,unlikely
side,door,yellow,probably,probably,unlikely
side,door,far,guaranteed,guaranteed,wjj-nonsense
horse,rider,dead,unrelated,unrelated,unlikely
horse,rider,attached,probably,wjj-nonsense,wjj-nonsense
horse,rider,blue,unrelated,unrelated,unrelated
horse,rider,old,unrelated,unrelated,unrelated
buffalo,head,dead,guaranteed,guaranteed,guaranteed
buffalo,head,young,guaranteed,guaranteed,guaranteed
buffalo,head,white,probably,probably,probably
buffalo,head,african,guaranteed,guaranteed,guaranteed
buffalo,head,wild,guaranteed,guaranteed,guaranteed
steer,horn,young,guaranteed,guaranteed,guaranteed
steer,horn,brown,unrelated,unlikely,unlikely
steer,horn,clear,wjj-nonsense,impossible,pjj-nonsense
tennis player,short,poor,pjj-nonsense,impossible,unrelated
tennis player,short,key,pjj-nonsense,wjj-nonsense,unrelated
house,garage,empty,guaranteed,probably,probably
house,garage,private,guaranteed,probably,probably
house,garage,old,guaranteed,probably,probably
car,sunroof,open,wjj-nonsense,unrelated,unrelated
bench,bolt,long,unlikely,impossible,probably
bench,bolt,wooden,unlikely,unlikely,unlikely
bench,bolt,hard,unrelated,unrelated,guaranteed
bridge,archway,white,probably,guaranteed,unlikely
bridge,archway,long,probably,probably,unlikely
bridge,archway,wooden,probably,guaranteed,unlikely
bridge,archway,narrow,unrelated,probably,unlikely
bridge,archway,old,guaranteed,guaranteed,guaranteed
keyboard,key,alphanumeric,guaranteed,unlikely,pjj-nonsense
keyboard,key,electronic,guaranteed,probably,guaranteed
keyboard,key,white,probably,probably,probably
keyboard,key,standard,guaranteed,probably,probably
keyboard,key,terminal,guaranteed,pjj-nonsense,pjj-nonsense
keyboard,key,virtual,guaranteed,guaranteed,guaranteed
woman,waist,poor,pjj-nonsense,unrelated,pjj-nonsense
woman,waist,beautiful,probably,probably,unrelated
hat,ball,white,unrelated,unrelated,unrelated
hat,ball,old,guaranteed,probably,guaranteed
jacket,pocket,short,unrelated,pjj-nonsense,unrelated
jacket,pocket,white,probably,probably,unlikely
pole,edge,metallic,guaranteed,guaranteed,guaranteed
pole,edge,tall,guaranteed,guaranteed,guaranteed
pole,edge,green,guaranteed,guaranteed,guaranteed
pole,edge,long,guaranteed,guaranteed,guaranteed
pole,edge,posterior,guaranteed,wjj-nonsense,guaranteed
mountain,edge,lofty,probably,pjj-nonsense,impossible
mountain,edge,sacred,guaranteed,guaranteed,impossible
mountain,edge,tall,guaranteed,probably,impossible
mountain,edge,high,guaranteed,probably,guaranteed
mountain,edge,steep,probably,probably,guaranteed
mountain,edge,rocky,probably,guaranteed,guaranteed
door,hinge,inner,impossible,guaranteed,guaranteed
door,hinge,heavy,unrelated,unlikely,unlikely
door,hinge,closed,impossible,guaranteed,guaranteed
door,hinge,wooden,unlikely,unlikely,unlikely
polar bear,paw,white,unrelated,probably,probably
boy,foot,young,guaranteed,guaranteed,guaranteed
boy,foot,nice,unrelated,unrelated,impossible
boy,foot,dear,pjj-nonsense,unrelated,impossible
tree,needle,green,probably,guaranteed,guaranteed
tree,needle,hollow,unlikely,impossible,impossible
tree,needle,old,probably,probably,unlikely
tub,edge,huge,guaranteed,probably,probably
tub,edge,round,guaranteed,probably,guaranteed
tub,edge,white,guaranteed,probably,guaranteed
tub,edge,old,guaranteed,guaranteed,guaranteed
tub,edge,wooden,probably,guaranteed,guaranteed
tub,edge,plastic,guaranteed,guaranteed,guaranteed
tub,edge,deep,impossible,pjj-nonsense,pjj-nonsense
toilet paper,holder,free,unrelated,unrelated,pjj-nonsense
table,cloth,metal,impossible,impossible,impossible
table,cloth,white,unrelated,unrelated,unrelated
table,cloth,long,guaranteed,guaranteed,probably
table,cloth,glass,impossible,impossible,impossible
table,cloth,above,guaranteed,pjj-nonsense,wjj-nonsense
train,locomotive,electric,guaranteed,guaranteed,guaranteed
train,locomotive,long,probably,unrelated,unrelated
train,locomotive,fast,guaranteed,guaranteed,guaranteed
dish,handle,empty,guaranteed,impossible,impossible
dish,handle,porcelain,probably,probably,probably
dish,handle,hot,probably,probably,probably
dish,handle,white,unrelated,probably,probably
refrigerator,magnet,open,impossible,pjj-nonsense,impossible
refrigerator,magnet,old,unrelated,unrelated,unrelated
head,side,fuzzy,probably,guaranteed,guaranteed
head,side,bowed,guaranteed,pjj-nonsense,guaranteed
head,side,femoral,guaranteed,pjj-nonsense,pjj-nonsense
head,side,dark,probably,guaranteed,probably
head,side,humeral,guaranteed,pjj-nonsense,word-nonsense
church,roof,true,pjj-nonsense,guaranteed,guaranteed
church,roof,primitive,probably,probably,guaranteed
church,roof,ancient,probably,probably,guaranteed
church,roof,brown,probably,unrelated,unrelated
church,roof,old,probably,probably,guaranteed
apple,part,rotten,probably,guaranteed,unrelated
apple,part,shiny,probably,guaranteed,probably
apple,part,golden,probably,probably,probably
apple,part,liquid,probably,probably,guaranteed
apple,part,green,probably,probably,guaranteed
apple,part,fresh,probably,guaranteed,guaranteed
