whole,part,jj,result1,result2,result3
coffee cup,lid,hot,guaranteed,guaranteed,guaranteed
kitchen,door,interior,guaranteed,guaranteed,guaranteed
kitchen,door,dark,probably,probably,probably
kitchen,door,warm,guaranteed,probably,unrelated
kitchen,door,old,probably,probably,probably
kitchen,door,tiny,impossible,unrelated,guaranteed
baseball player,face,poor,guaranteed,impossible,unrelated
baseball player,face,professional,impossible,impossible,probably
baseball player,face,defensive,unrelated,unrelated,guaranteed
baseball player,face,key,pjj-nonsense,impossible,guaranteed
stove,window,warm,guaranteed,guaranteed,probably
stove,window,hot,guaranteed,guaranteed,probably
stove,window,white,unrelated,unlikely,impossible
stove,window,old,probably,guaranteed,guaranteed
stove,window,electric,unrelated,impossible,pjj-nonsense
surfboard,spray,purple,unlikely,impossible,impossible
surfboard,spray,short,impossible,unrelated,guaranteed
surfboard,spray,old,impossible,impossible,impossible
baseball player,shoe,poor,pjj-nonsense,unrelated,impossible
building,part,public,guaranteed,guaranteed,probably
building,part,original,guaranteed,guaranteed,guaranteed
building,part,old,guaranteed,guaranteed,guaranteed
building,part,tall,unrelated,unrelated,unrelated
building,part,fine,probably,probably,guaranteed
building,part,brown,probably,probably,probably
shade,part,light,guaranteed,guaranteed,impossible
shade,part,partial,guaranteed,unrelated,unrelated
shade,part,deep,guaranteed,wjj-nonsense,unrelated
shade,part,dark,guaranteed,guaranteed,unrelated
shade,part,cool,guaranteed,guaranteed,probably
shade,part,white,guaranteed,wjj-nonsense,unrelated
engine,bumper,internal,impossible,impossible,impossible
box,top,empty,guaranteed,pjj-nonsense,impossible
box,top,grey,probably,unlikely,guaranteed
box,top,wooden,guaranteed,unlikely,guaranteed
kitchen,countertop,old,guaranteed,probably,probably
store,display,interior,probably,guaranteed,guaranteed
store,display,rich,pjj-nonsense,unrelated,probably
store,display,white,probably,probably,unlikely
store,display,old,unrelated,guaranteed,unrelated
store,display,vast,unrelated,guaranteed,guaranteed
trouser,part,loose,probably,probably,guaranteed
trouser,part,decent,guaranteed,probably,guaranteed
trouser,part,part,guaranteed,wjj-nonsense,pjj-nonsense
trouser,part,white,guaranteed,guaranteed,guaranteed
trouser,part,long,guaranteed,pjj-nonsense,probably
wall,baseboard,white,probably,unrelated,probably
boat,trim,white,probably,unlikely,probably
boat,trim,old,guaranteed,guaranteed,probably
boat,trim,wooden,guaranteed,probably,guaranteed
bike,shield,old,guaranteed,probably,probably
bike,shield,red,probably,probably,unrelated
child,nose,dear,probably,pjj-nonsense,unrelated
child,nose,poor,guaranteed,pjj-nonsense,guaranteed
child,nose,young,guaranteed,guaranteed,guaranteed
child,nose,sick,probably,probably,unrelated
pizza,pepper,cold,guaranteed,guaranteed,probably
pizza,pepper,free,guaranteed,guaranteed,guaranteed
pizza,pepper,hot,guaranteed,guaranteed,probably
woman,knife,poor,impossible,pjj-nonsense,impossible
woman,knife,beautiful,unrelated,impossible,unlikely
case,shelf,latter,pjj-nonsense,guaranteed,pjj-nonsense
case,shelf,black,probably,probably,probably
person,skin,responsible,unrelated,pjj-nonsense,impossible
person,skin,human,guaranteed,guaranteed,guaranteed
cuff,button,green,unlikely,unrelated,unrelated
cuff,button,bright,guaranteed,unrelated,unrelated
comforter,flower,gold,unrelated,unrelated,unlikely
comforter,flower,true,guaranteed,pjj-nonsense,pjj-nonsense
comforter,flower,white,unrelated,unrelated,unlikely
comforter,flower,divine,guaranteed,probably,probably
comforter,flower,thick,unrelated,probably,impossible
bed,blanket,comfortable,probably,probably,probably
bed,blanket,warm,guaranteed,probably,probably
bed,blanket,narrow,probably,probably,probably
bed,blanket,dry,guaranteed,guaranteed,guaranteed
food,crust,raw,probably,unrelated,probably
food,crust,pink,unrelated,unrelated,unrelated
food,crust,human,pjj-nonsense,pjj-nonsense,pjj-nonsense
player,short,poor,unrelated,unrelated,pjj-nonsense
player,short,key,pjj-nonsense,unrelated,pjj-nonsense
player,short,red,unrelated,unrelated,wjj-nonsense
car,dashboard,old,guaranteed,guaranteed,guaranteed
car,dashboard,black,probably,unlikely,probably
buffalo,leg,young,guaranteed,guaranteed,guaranteed
buffalo,leg,dead,guaranteed,guaranteed,guaranteed
buffalo,leg,white,probably,probably,probably
surfer,knee,upright,guaranteed,guaranteed,probably
surfer,knee,young,guaranteed,guaranteed,guaranteed
surfer,knee,male,guaranteed,pjj-nonsense,guaranteed
airplane,cloud,private,unrelated,impossible,impossible
airplane,cloud,commercial,unrelated,impossible,impossible
airplane,cloud,white,unrelated,unrelated,unrelated
airplane,cloud,light,unrelated,unrelated,unrelated
bag,wheel,black,probably,unrelated,unrelated
tie,spot,blue,probably,probably,unrelated
tie,spot,strong,impossible,pjj-nonsense,guaranteed
man,cup,poor,unrelated,unrelated,unrelated
airplane,word,light,unrelated,impossible,impossible
airplane,word,conventional,pjj-nonsense,guaranteed,guaranteed
airplane,word,private,impossible,impossible,guaranteed
airplane,word,white,unlikely,unlikely,unrelated
airplane,word,american,impossible,guaranteed,guaranteed
airplane,word,commercial,impossible,probably,guaranteed
guy,shoe,poor,unrelated,unrelated,unrelated
guy,shoe,old,unrelated,unrelated,unrelated
guy,shoe,nice,unrelated,impossible,unrelated
skateboard,design,green,probably,unlikely,unrelated
skateboard,design,motorized,pjj-nonsense,impossible,pjj-nonsense
skateboard,design,old,probably,guaranteed,probably
skateboard,design,wooden,unrelated,impossible,probably
animal,foot,stuffed,guaranteed,guaranteed,guaranteed
animal,foot,experimental,probably,unlikely,probably
animal,foot,poor,unrelated,pjj-nonsense,probably
animal,foot,wild,guaranteed,guaranteed,guaranteed
animal,foot,young,guaranteed,guaranteed,probably
animal,foot,brown,probably,probably,probably
animal,foot,human,guaranteed,pjj-nonsense,guaranteed
animal,foot,furry,guaranteed,probably,probably
zebra,torso,young,guaranteed,guaranteed,guaranteed
zebra,torso,brown,probably,probably,guaranteed
zebra,torso,female,guaranteed,guaranteed,guaranteed
zebra,torso,tall,probably,unlikely,probably
bowl,inside,shallow,probably,guaranteed,guaranteed
bowl,inside,circular,guaranteed,guaranteed,guaranteed
bowl,inside,empty,guaranteed,guaranteed,guaranteed
bowl,inside,wooden,guaranteed,guaranteed,guaranteed
bowl,inside,golden,probably,guaranteed,unrelated
tower,roof,lofty,guaranteed,guaranteed,probably
tower,roof,round,probably,unrelated,probably
tower,roof,high,guaranteed,guaranteed,guaranteed
tower,roof,white,unrelated,probably,unrelated
tower,roof,old,probably,guaranteed,probably
tower,roof,tall,unrelated,guaranteed,guaranteed
kite,tassel,long,unrelated,probably,unrelated
kite,tassel,old,probably,guaranteed,probably
kite,tassel,red,unrelated,guaranteed,unrelated
shoe,part,white,guaranteed,guaranteed,guaranteed
shoe,part,tight,probably,impossible,pjj-nonsense
shoe,part,old,guaranteed,guaranteed,guaranteed
shoe,part,hot,guaranteed,guaranteed,unlikely
building,stone,public,guaranteed,impossible,pjj-nonsense
building,stone,original,unrelated,probably,unrelated
building,stone,old,guaranteed,probably,probably
building,stone,tall,guaranteed,unlikely,unrelated
building,stone,fine,probably,unrelated,unrelated
building,stone,brown,guaranteed,probably,unrelated
airplane,fuselage,white,probably,probably,probably
airplane,fuselage,conventional,pjj-nonsense,guaranteed,guaranteed
blanket,fringe,green,probably,probably,unrelated
blanket,fringe,thick,probably,guaranteed,unrelated
blanket,fringe,old,guaranteed,probably,probably
fire truck,headlight,red,impossible,impossible,impossible
racket,handle,tremendous,probably,guaranteed,unrelated
racket,handle,red,probably,probably,unrelated
racket,handle,terrible,unrelated,unrelated,unrelated
cat,back,white,probably,probably,probably
cat,back,old,guaranteed,guaranteed,guaranteed
lamp,base,tall,unlikely,unlikely,probably
lamp,base,red,probably,probably,probably
trash can,wheel,latter,pjj-nonsense,guaranteed,wjj-nonsense
trash can,wheel,yellow,unrelated,unrelated,unlikely
trash can,wheel,open,impossible,impossible,impossible
trash can,wheel,old,probably,guaranteed,guaranteed
person,cup,human,impossible,impossible,pjj-nonsense
donut,crumb,golden,guaranteed,unrelated,probably
donut,crumb,stale,guaranteed,probably,guaranteed
giraffe,ear,young,guaranteed,guaranteed,guaranteed
giraffe,ear,brown,probably,probably,guaranteed
pelican,beak,old,guaranteed,guaranteed,guaranteed
pelican,beak,black,probably,unrelated,unrelated
bed,bedpost,wooden,guaranteed,guaranteed,probably
photo,frame,above,guaranteed,guaranteed,guaranteed
photo,frame,original,unlikely,probably,probably
photo,frame,digital,unrelated,unlikely,impossible
photo,frame,old,unrelated,probably,unrelated
photo,frame,sunny,pjj-nonsense,pjj-nonsense,pjj-nonsense
bun,seed,loose,guaranteed,unrelated,probably
bun,seed,brown,probably,unrelated,probably
bun,seed,hot,guaranteed,probably,probably
vest,logo,red,unrelated,unlikely,unlikely
stove,oven,warm,unrelated,guaranteed,unrelated
stove,oven,black,probably,guaranteed,probably
stove,oven,hot,unrelated,guaranteed,unrelated
stove,oven,old,probably,guaranteed,probably
stove,oven,electric,probably,guaranteed,probably
table,design,above,unrelated,pjj-nonsense,guaranteed
table,design,accompanying,pjj-nonsense,pjj-nonsense,probably
table,design,white,unlikely,unlikely,unrelated
table,design,metal,unrelated,guaranteed,probably
table,design,long,probably,probably,unrelated
bike,mirror,stationary,guaranteed,guaranteed,guaranteed
bike,mirror,old,probably,guaranteed,probably
bike,mirror,red,probably,unrelated,impossible
tree trunk,bark,hollow,guaranteed,pjj-nonsense,unrelated
tree trunk,bark,old,guaranteed,guaranteed,guaranteed
tree trunk,bark,brown,guaranteed,unrelated,probably
tree trunk,bark,thick,probably,unrelated,unrelated
tree trunk,bark,wide,guaranteed,guaranteed,unrelated
cake,heart,sweet,guaranteed,unrelated,probably
cake,heart,national,guaranteed,pjj-nonsense,unrelated
cake,heart,round,impossible,impossible,impossible
boy,knee,young,guaranteed,guaranteed,guaranteed
boy,knee,dear,guaranteed,impossible,impossible
batter,number,slight,unrelated,impossible,pjj-nonsense
batter,number,ready,impossible,impossible,pjj-nonsense
batter,number,smooth,unrelated,impossible,unrelated
batter,number,thin,probably,unrelated,unrelated
he,hair,mild,unrelated,unrelated,unrelated
he,hair,chronic,guaranteed,unlikely,pjj-nonsense
he,hair,brown,unrelated,unrelated,unrelated
zebra,rump,striped,guaranteed,probably,guaranteed
zebra,rump,black,probably,probably,guaranteed
banana,skin,green,guaranteed,guaranteed,guaranteed
banana,skin,wild,guaranteed,guaranteed,pjj-nonsense
banana,skin,sliced,guaranteed,probably,unrelated
banana,skin,ripe,guaranteed,guaranteed,probably
toilet,pipe,clear,unlikely,unlikely,unrelated
toilet,pipe,closed,impossible,probably,unrelated
toilet,pipe,white,unrelated,unrelated,unrelated
toilet,pipe,hasty,pjj-nonsense,probably,pjj-nonsense
sky,reflection,clear,guaranteed,probably,probably
sky,reflection,dark,guaranteed,probably,probably
sky,reflection,cloudy,probably,probably,guaranteed
sky,reflection,open,probably,pjj-nonsense,pjj-nonsense
sky,reflection,sunny,nonsense,probably,probably
sky,reflection,hazy,guaranteed,probably,probably
hydrant,rust,residual,wjj-nonsense,probably,pjj-nonsense
hydrant,rust,red,unrelated,unrelated,unrelated
girl,fork,beautiful,unrelated,impossible,unrelated
girl,fork,old,unrelated,unlikely,unrelated
door,number,closed,pjj-nonsense,impossible,impossible
door,number,white,unlikely,unlikely,unrelated
door,number,inner,pjj-nonsense,unrelated,impossible
door,number,heavy,unlikely,impossible,impossible
zebra,face,striped,guaranteed,guaranteed,guaranteed
zebra,face,dead,guaranteed,pjj-nonsense,guaranteed
zebra,face,true,guaranteed,wjj-nonsense,guaranteed
zebra,face,tall,guaranteed,unlikely,impossible
zebra,face,young,guaranteed,guaranteed,guaranteed
zebra,face,brown,guaranteed,probably,guaranteed
zebra,face,female,guaranteed,pjj-nonsense,guaranteed
broccoli,stalk,green,guaranteed,probably,guaranteed
broccoli,stalk,fresh,probably,guaranteed,guaranteed
broccoli,stalk,round,guaranteed,unrelated,pjj-nonsense
container,spoon,suitable,unlikely,guaranteed,probably
container,spoon,plastic,unrelated,probably,probably
container,spoon,white,unrelated,unrelated,probably
container,spoon,empty,unrelated,guaranteed,guaranteed
goose,head,wild,impossible,guaranteed,guaranteed
goose,head,white,probably,probably,unrelated
goose,head,old,guaranteed,guaranteed,guaranteed
goose,head,fat,unlikely,guaranteed,unlikely
goose,head,silly,impossible,unrelated,guaranteed
goose,head,golden,probably,probably,probably
duck,tail,white,probably,probably,probably
duck,tail,fat,unlikely,unlikely,unlikely
helmet,design,golden,unlikely,unrelated,unlikely
helmet,design,white,unlikely,unrelated,unlikely
dish,edge,shallow,impossible,probably,guaranteed
dish,edge,deep,impossible,unlikely,guaranteed
dish,edge,empty,unlikely,guaranteed,probably
dish,edge,hot,probably,probably,guaranteed
dish,edge,porcelain,guaranteed,guaranteed,guaranteed
dish,edge,white,probably,probably,unrelated
truck,hood,white,unrelated,guaranteed,guaranteed
truck,hood,open,unrelated,unrelated,unrelated
truck,hood,old,probably,guaranteed,guaranteed
elephant,ear,young,guaranteed,guaranteed,guaranteed
elephant,ear,gold,guaranteed,guaranteed,unrelated
elephant,ear,red,guaranteed,guaranteed,unrelated
tablet,screen,blank,guaranteed,guaranteed,guaranteed
tablet,screen,white,impossible,unlikely,unrelated
tablet,screen,wooden,impossible,impossible,impossible
orange,inside,orange,guaranteed,guaranteed,guaranteed
orange,inside,deep,guaranteed,guaranteed,pjj-nonsense
orange,inside,round,unrelated,guaranteed,guaranteed
orange,inside,pale,unrelated,probably,guaranteed
orange,inside,shiny,probably,unrelated,wjj-nonsense
orange,inside,bright,probably,guaranteed,wjj-nonsense
chin,hair,white,probably,probably,unrelated
chin,hair,prominent,unrelated,guaranteed,unrelated
chin,hair,pointed,probably,guaranteed,unrelated
chin,hair,long,unrelated,unrelated,unrelated
chin,hair,strong,unrelated,unrelated,unrelated
locomotive,steam,ordinary,probably,probably,impossible
locomotive,steam,old,unrelated,impossible,impossible
locomotive,steam,american,guaranteed,guaranteed,impossible
locomotive,steam,red,unrelated,unlikely,impossible
elephant,neck,young,guaranteed,guaranteed,guaranteed
elephant,neck,red,guaranteed,guaranteed,guaranteed
mug,logo,white,impossible,impossible,unlikely
man,sandal,poor,unrelated,impossible,pjj-nonsense
woman,necklace,poor,impossible,unrelated,unrelated
woman,necklace,beautiful,unrelated,unrelated,unrelated
airplane,light,light,pjj-nonsense,unrelated,guaranteed
airplane,light,conventional,guaranteed,guaranteed,guaranteed
airplane,light,private,guaranteed,guaranteed,guaranteed
airplane,light,white,unrelated,unrelated,unrelated
airplane,light,american,guaranteed,unrelated,guaranteed
airplane,light,commercial,guaranteed,unrelated,guaranteed
zebra,stripe,true,guaranteed,guaranteed,guaranteed
zebra,stripe,black,guaranteed,probably,probably
sign,s,positive,pjj-nonsense,pjj-nonsense,guaranteed
sign,s,negative,pjj-nonsense,guaranteed,guaranteed
sign,s,black,unrelated,impossible,impossible
sign,s,sure,pjj-nonsense,guaranteed,guaranteed
woman,gun,poor,unrelated,impossible,impossible
woman,gun,beautiful,unrelated,unrelated,impossible
woman,gun,elderly,impossible,impossible,impossible
ceiling,tile,white,guaranteed,probably,guaranteed
ceiling,tile,flat,guaranteed,probably,guaranteed
cup,side,empty,guaranteed,guaranteed,impossible
cup,side,hot,probably,guaranteed,probably
cup,side,silver,guaranteed,probably,probably
cup,side,plastic,guaranteed,guaranteed,probably
cup,side,blue,guaranteed,probably,probably
person,eyebrow,human,guaranteed,guaranteed,probably
giraffe,shadow,young,unrelated,impossible,impossible
giraffe,shadow,brown,unlikely,impossible,unlikely
giraffe,shadow,tall,guaranteed,impossible,probably
bird,spot,dead,guaranteed,guaranteed,impossible
bird,spot,white,impossible,unrelated,unlikely
bird,spot,beautiful,unrelated,probably,unlikely
bird,spot,old,guaranteed,guaranteed,guaranteed
toothbrush,handle,soft,unrelated,impossible,unrelated
toothbrush,handle,white,probably,probably,unrelated
toothbrush,handle,stiff,unrelated,guaranteed,unrelated
toothbrush,handle,old,guaranteed,guaranteed,guaranteed
cow,hair,dead,guaranteed,guaranteed,guaranteed
cow,hair,white,probably,probably,unrelated
cow,hair,old,guaranteed,unlikely,guaranteed
horse,harness,old,unrelated,unrelated,unrelated
horse,harness,black,unrelated,unrelated,unrelated
container,lid,closed,guaranteed,probably,guaranteed
container,lid,airtight,guaranteed,probably,guaranteed
container,lid,sealed,guaranteed,probably,guaranteed
container,lid,empty,impossible,nonsense,pjj-nonsense
container,lid,white,probably,probably,unrelated
container,lid,suitable,guaranteed,guaranteed,guaranteed
container,lid,plastic,guaranteed,guaranteed,probably
tower,bell,round,probably,unrelated,unrelated
tower,bell,high,guaranteed,probably,guaranteed
tower,bell,white,unrelated,unrelated,unrelated
tower,bell,old,probably,unrelated,probably
tower,bell,tall,guaranteed,unrelated,unlikely
wall,mirror,high,probably,unrelated,unlikely
wall,mirror,white,unlikely,unrelated,impossible
cabin,door,lonely,guaranteed,guaranteed,pjj-nonsense
cabin,door,wooden,probably,guaranteed,probably
cabin,door,forward,guaranteed,guaranteed,pjj-nonsense
cabin,door,white,probably,probably,unrelated
cabin,door,old,probably,guaranteed,probably
cabin,door,rude,pjj-nonsense,wjj-nonsense,pjj-nonsense
cabin,door,tiny,guaranteed,unrelated,probably
mother,head,widowed,guaranteed,guaranteed,impossible
mother,head,black,guaranteed,guaranteed,guaranteed
mother,head,poor,unrelated,unrelated,impossible
mother,head,old,guaranteed,guaranteed,guaranteed
mother,head,young,guaranteed,guaranteed,guaranteed
mother,head,dear,unrelated,guaranteed,impossible
leg,foot,injured,probably,unrelated,unrelated
leg,foot,artificial,guaranteed,unrelated,guaranteed
leg,foot,bent,unrelated,unrelated,unrelated
leg,foot,broken,unrelated,unrelated,unrelated
leg,foot,affected,probably,unrelated,unrelated
cellphone,antenna,regular,pjj-nonsense,guaranteed,guaranteed
cellphone,antenna,tiny,probably,guaranteed,guaranteed
cellphone,antenna,black,probably,probably,guaranteed
man,brow,poor,impossible,pjj-nonsense,impossible
doorway,frame,arched,guaranteed,unrelated,guaranteed
doorway,frame,narrow,guaranteed,guaranteed,guaranteed
doorway,frame,red,guaranteed,probably,guaranteed
doorway,frame,dark,probably,probably,guaranteed
doorway,frame,darkened,unrelated,probably,guaranteed
doorway,frame,open,guaranteed,impossible,impossible
doorway,frame,low,guaranteed,guaranteed,guaranteed
lady,head,poor,guaranteed,unrelated,pjj-nonsense
lady,head,dear,guaranteed,unrelated,pjj-nonsense
lady,head,beautiful,guaranteed,guaranteed,probably
roof,sign,green,unlikely,unrelated,unrelated
roof,sign,decorative,guaranteed,unrelated,unrelated
roof,sign,flat,unrelated,unrelated,unrelated
van,plate,white,unrelated,unrelated,unrelated
van,plate,old,probably,guaranteed,probably
van,plate,weak,pjj-nonsense,probably,pjj-nonsense
tail,emblem,short,unrelated,unrelated,unrelated
grass,shadow,green,impossible,impossible,impossible
grass,shadow,long,guaranteed,probably,guaranteed
grass,shadow,high,probably,probably,guaranteed
male,arm,young,guaranteed,guaranteed,guaranteed
male,arm,white,guaranteed,guaranteed,guaranteed
male,arm,human,guaranteed,guaranteed,guaranteed
row,tree,horizontal,unlikely,impossible,guaranteed
row,tree,proximal,guaranteed,guaranteed,guaranteed
row,tree,inner,probably,unrelated,guaranteed
row,tree,long,unrelated,unrelated,unrelated
row,tree,distant,guaranteed,guaranteed,unrelated
row,tree,distal,pjj-nonsense,pjj-nonsense,guaranteed
water,splash,blue,guaranteed,unlikely,probably
water,splash,warm,guaranteed,probably,probably
chef,arm,excellent,probably,probably,pjj-nonsense
chef,arm,famous,guaranteed,unrelated,unrelated
chef,arm,french,guaranteed,guaranteed,guaranteed
chef,arm,white,guaranteed,guaranteed,guaranteed
chef,arm,professional,probably,unrelated,pjj-nonsense
plane,bottom,white,probably,probably,probably
plane,bottom,horizontal,guaranteed,guaranteed,guaranteed
plane,bottom,vertical,guaranteed,guaranteed,guaranteed
elephant,eye,young,guaranteed,guaranteed,guaranteed
elephant,eye,wild,impossible,guaranteed,probably
elephant,eye,grey,unrelated,unlikely,unrelated
elephant,eye,gold,unrelated,unlikely,unrelated
zebra,pattern,striped,guaranteed,guaranteed,guaranteed
zebra,pattern,dead,guaranteed,guaranteed,guaranteed
zebra,pattern,true,probably,unrelated,guaranteed
zebra,pattern,tall,unrelated,probably,guaranteed
zebra,pattern,young,guaranteed,guaranteed,guaranteed
zebra,pattern,brown,guaranteed,probably,guaranteed
zebra,pattern,female,guaranteed,pjj-nonsense,probably
bag,trim,black,probably,unlikely,probably
lamb,face,light,probably,probably,probably
lamb,face,fetal,guaranteed,guaranteed,pjj-nonsense
lamb,face,shorn,unlikely,probably,guaranteed
lamb,face,immature,guaranteed,guaranteed,guaranteed
lamb,face,poor,unrelated,pjj-nonsense,pjj-nonsense
lamb,face,white,probably,probably,probably
lamb,face,young,guaranteed,guaranteed,guaranteed
catcher,guard,young,impossible,unrelated,impossible
catcher,guard,regular,pjj-nonsense,guaranteed,pjj-nonsense
catcher,guard,defensive,impossible,guaranteed,pjj-nonsense
catcher,guard,old,unrelated,unrelated,unrelated
fireplace,wood,huge,guaranteed,unlikely,probably
fireplace,wood,dark,unlikely,unlikely,unrelated
fireplace,wood,empty,guaranteed,pjj-nonsense,guaranteed
fireplace,wood,white,unrelated,unlikely,unlikely
fireplace,wood,old,unrelated,impossible,unlikely
fireplace,wood,wide,unrelated,unlikely,probably
train,mirror,red,unlikely,unlikely,impossible
train,mirror,fast,impossible,guaranteed,impossible
train,mirror,regular,pjj-nonsense,guaranteed,probably
train,mirror,long,unlikely,unrelated,unlikely
train,mirror,electric,impossible,unrelated,unlikely
owl,beak,white,unrelated,unlikely,unrelated
owl,beak,old,guaranteed,guaranteed,guaranteed
wing,spot,white,unrelated,unlikely,unrelated
wing,spot,broken,unrelated,unrelated,pjj-nonsense
tree,knot,green,unlikely,probably,probably
tree,knot,old,unrelated,guaranteed,guaranteed
man,food,poor,unrelated,impossible,pjj-nonsense
airplane,writing,light,unrelated,guaranteed,unlikely
airplane,writing,conventional,unrelated,unrelated,pjj-nonsense
airplane,writing,private,impossible,guaranteed,impossible
airplane,writing,white,unrelated,unlikely,unlikely
airplane,writing,american,probably,guaranteed,impossible
airplane,writing,commercial,guaranteed,guaranteed,impossible
window,building,square,unrelated,unrelated,unrelated
window,building,high,guaranteed,guaranteed,unrelated
window,building,broken,unlikely,pjj-nonsense,unlikely
window,building,open,guaranteed,unrelated,unrelated
window,building,brown,unrelated,unrelated,unrelated
window,building,clean,probably,probably,unlikely
cow,hoof,white,unrelated,unlikely,unrelated
cow,hoof,old,guaranteed,guaranteed,guaranteed
stove,burner,electric,guaranteed,guaranteed,guaranteed
stove,burner,warm,guaranteed,guaranteed,probably
stove,burner,old,guaranteed,guaranteed,guaranteed
stove,burner,hot,guaranteed,guaranteed,probably
driver,hand,careful,impossible,unrelated,impossible
driver,hand,drunken,impossible,impossible,impossible
driver,hand,old,guaranteed,guaranteed,guaranteed
driver,hand,drunk,impossible,impossible,impossible
driver,hand,young,guaranteed,guaranteed,guaranteed
ground,stick,firm,unrelated,unlikely,unrelated
ground,stick,white,unrelated,unlikely,unrelated
ground,stick,dirty,probably,guaranteed,probably
ground,stick,dry,probably,guaranteed,probably
sign,side,black,probably,unrelated,guaranteed
sign,side,negative,pjj-nonsense,unrelated,impossible
sign,side,sure,pjj-nonsense,guaranteed,pjj-nonsense
sign,side,outward,guaranteed,guaranteed,pjj-nonsense
sign,side,positive,pjj-nonsense,unrelated,impossible
platform,line,public,guaranteed,guaranteed,impossible
platform,line,gray,unlikely,unrelated,unlikely
platform,line,wooden,probably,unlikely,impossible
platform,line,democratic,pjj-nonsense,unrelated,pjj-nonsense
platform,line,republican,pjj-nonsense,unrelated,pjj-nonsense
woman,fork,beautiful,unlikely,unlikely,unrelated
horse,blaze,old,guaranteed,guaranteed,guaranteed
horse,blaze,black,unlikely,impossible,unrelated
wall,painting,high,guaranteed,unrelated,probably
wall,painting,white,impossible,unrelated,unrelated
orange,dimple,deep,wjj-nonsense,probably,wjj-nonsense
orange,dimple,round,unrelated,unrelated,unrelated
orange,dimple,pale,unrelated,guaranteed,guaranteed
kite,stripe,long,probably,probably,probably
kite,stripe,old,guaranteed,probably,guaranteed
kite,stripe,red,unlikely,unrelated,unlikely
animal,spot,poor,guaranteed,pjj-nonsense,guaranteed
animal,spot,wild,guaranteed,guaranteed,guaranteed
animal,spot,brown,probably,unrelated,unlikely
animal,spot,human,impossible,probably,guaranteed
cup,flower,plastic,guaranteed,unrelated,pjj-nonsense
cup,flower,blue,unlikely,unrelated,unlikely
